AL,nest,nest_mate,date,year,DOY,sunrise,time,time_after_sunrise,process_time,time_on_ice,CORT_time,CORT_cat,CORT_value,CORT_sec,sex,age,age.2,incubator
1964,NA,NA,10-Apr-17,2017,100,6.22,10.5,4.28,12.86666667,2.366666667,30,min30,NA,NA,F,adult,adult,NA
1966,NA,NA,25-Mar-17,2017,84,6.31,9.083333333,2.77,12,2.916666667,0,base,3.874516421,120,M,adult,adult,NA
1966,NA,NA,25-Mar-17,2017,84,6.31,9.083333333,2.77,12,2.916666667,15,min15,32.37740987,960,M,adult,adult,NA
1966,NA,NA,25-Mar-17,2017,84,6.31,9.083333333,2.77,12,2.916666667,30,min30,61.85701943,1840,M,adult,adult,NA
1979,NA,NA,7-Apr-17,2017,97,6.24,7.666666667,1.43,11.51666667,3.85,0,base,1.633293249,76,F,adult,adult,NA
1979,NA,NA,7-Apr-17,2017,97,6.24,7.666666667,1.43,11.51666667,3.85,15,min15,NA,NA,F,adult,adult,NA
1979,NA,NA,7-Apr-17,2017,97,6.24,7.666666667,1.43,11.51666667,3.85,30,min30,NA,NA,F,adult,adult,NA
1992,NA,NA,8-Apr-17,2017,98,6.23,8.266666667,2.04,12.1,3.833333333,0,base,3.363947187,113,M,adult,adult,NA
1992,NA,NA,8-Apr-17,2017,98,6.23,8.266666667,2.04,12.1,3.833333333,15,min15,42.6595856,983,M,adult,adult,NA
1992,NA,NA,8-Apr-17,2017,98,6.23,8.266666667,2.04,12.1,3.833333333,30,min30,75.24852317,1869,M,adult,adult,NA
2004,NA,NA,29-Mar-17,2017,88,6.28,7.4,1.12,11.18333333,3.783333333,0,base,2.785756913,88,M,adult,adult,NA
2004,NA,NA,29-Mar-17,2017,88,6.28,7.4,1.12,11.18333333,3.783333333,15,min15,57.89301682,971,M,adult,adult,NA
2004,NA,NA,29-Mar-17,2017,88,6.28,7.4,1.12,11.18333333,3.783333333,30,min30,49.15433732,1870,M,adult,adult,NA
2008,NA,NA,21-Mar-17,2017,80,6.33,8.883333333,2.55,12.26666667,3.383333333,0,base,2.482457241,68,F,adult,adult,NA
2008,NA,NA,21-Mar-17,2017,80,6.33,8.883333333,2.55,12.26666667,3.383333333,15,min15,40.44570436,878,F,adult,adult,NA
2008,NA,NA,21-Mar-17,2017,80,6.33,8.883333333,2.55,12.26666667,3.383333333,30,min30,50.00839434,NA,F,adult,adult,NA
2009,NA,NA,21-Mar-17,2017,80,6.33,10.33333333,4,12.43333333,2.1,0,base,6.016757752,100,M,adult,adult,NA
2009,NA,NA,10-Apr-17,2017,100,6.22,8.466666667,2.25,12.43333333,3.966666667,0,base,0.806,153,M,adult,adult,NA
2009,NA,NA,21-Mar-17,2017,80,6.33,10.33333333,4,12.43333333,2.1,15,min15,48.5616,940,M,adult,adult,NA
2009,NA,NA,10-Apr-17,2017,100,6.22,8.466666667,2.25,12.43333333,3.966666667,15,min15,30.02971094,950,M,adult,adult,NA
2009,NA,NA,21-Mar-17,2017,80,6.33,10.33333333,4,12.43333333,2.1,30,min30,32.0814,1826,M,adult,adult,NA
2009,NA,NA,10-Apr-17,2017,100,6.22,8.466666667,2.25,12.43333333,3.966666667,30,min30,51.60356023,1839,M,adult,adult,NA
2010,NA,NA,22-Mar-17,2017,81,6.32,9.5,3.18,12.41666667,2.916666667,0,base,1.268795424,45,F,adult,adult,NA
